 ,Label,Area,Circ.,AR,Round,Solidity
793,sample1_thresholded.tif,200.688,0.812,1.780,0.562,0.937
794,sample1_thresholded.tif,147.030,0.749,1.595,0.627,0.919
795,sample1_thresholded.tif,177.450,0.898,1.177,0.850,0.938
796,sample1_thresholded.tif,343.493,0.818,1.178,0.849,0.929
797,sample1_thresholded.tif,209.983,0.883,1.236,0.809,0.948
798,sample1_thresholded.tif,230.263,0.830,1.295,0.772,0.916
799,sample1_thresholded.tif,199.420,0.898,1.107,0.903,0.937
800,sample1_thresholded.tif,230.685,0.793,1.441,0.694,0.912
801,sample1_thresholded.tif,211.673,0.796,1.308,0.765,0.923
802,sample1_thresholded.tif,372.645,0.633,2.200,0.455,0.903
803,sample1_thresholded.tif,206.603,0.881,1.265,0.791,0.941
804,sample1_thresholded.tif,185.900,0.736,1.782,0.561,0.921
805,sample1_thresholded.tif,209.560,0.848,1.248,0.801,0.932
806,sample1_thresholded.tif,190.548,0.846,1.408,0.710,0.937
807,sample1_thresholded.tif,179.140,0.920,1.169,0.856,0.942
808,sample1_thresholded.tif,216.743,0.776,1.590,0.629,0.920
809,sample1_thresholded.tif,169.423,0.868,1.394,0.718,0.937
810,sample1_thresholded.tif,168.578,0.810,1.312,0.762,0.915
811,sample1_thresholded.tif,168.578,0.899,1.312,0.762,0.936
812,sample1_thresholded.tif,186.745,0.890,1.451,0.689,0.953
813,sample1_thresholded.tif,177.873,0.808,1.357,0.737,0.921
814,sample1_thresholded.tif,186.745,0.846,1.252,0.799,0.940
815,sample1_thresholded.tif,197.308,0.783,1.494,0.669,0.909
816,sample1_thresholded.tif,183.788,0.865,1.212,0.825,0.924
817,sample1_thresholded.tif,184.633,0.893,1.318,0.759,0.942
818,sample1_thresholded.tif,189.280,0.814,1.821,0.549,0.933
819,sample1_thresholded.tif,193.083,0.901,1.239,0.807,0.937
820,sample1_thresholded.tif,194.350,0.870,1.302,0.768,0.933
821,sample1_thresholded.tif,207.870,0.834,1.626,0.615,0.934
822,sample1_thresholded.tif,323.635,0.875,1.366,0.732,0.947
823,sample1_thresholded.tif,193.928,0.868,1.466,0.682,0.933
824,sample1_thresholded.tif,185.478,0.860,1.277,0.783,0.932
825,sample1_thresholded.tif,220.123,0.768,1.618,0.618,0.919
826,sample1_thresholded.tif,179.985,0.793,1.555,0.643,0.935
827,sample1_thresholded.tif,199.420,0.893,1.065,0.939,0.940
828,sample1_thresholded.tif,170.690,0.787,1.728,0.579,0.927
829,sample1_thresholded.tif,383.630,0.848,1.469,0.681,0.952
830,sample1_thresholded.tif,420.810,0.675,2.148,0.466,0.905
831,sample1_thresholded.tif,187.590,0.865,1.402,0.713,0.934
832,sample1_thresholded.tif,109.850,0.838,1.488,0.672,0.911
833,sample1_thresholded.tif,181.675,0.879,1.065,0.939,0.934
834,sample1_thresholded.tif,60.840,0.702,1.415,0.707,0.850
835,sample1_thresholded.tif,369.265,0.845,1.500,0.667,0.957
836,sample1_thresholded.tif,193.083,0.792,1.817,0.550,0.926
837,sample1_thresholded.tif,192.238,0.889,1.324,0.755,0.950
838,sample1_thresholded.tif,138.580,0.695,1.464,0.683,0.902
839,sample1_thresholded.tif,261.950,0.885,1.103,0.907,0.952
840,sample1_thresholded.tif,166.465,0.700,1.523,0.657,0.905
841,sample1_thresholded.tif,220.123,0.802,1.396,0.716,0.905
842,sample1_thresholded.tif,184.633,0.801,1.808,0.553,0.927
843,sample1_thresholded.tif,157.170,0.808,1.839,0.544,0.935
844,sample1_thresholded.tif,8.450,0.994,1.500,0.667,0.909
